label,precision,recall,f1-score,support
Dermatology,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
Endocrinology,1.0,0.8,0.8888888888888888,10.0
Gastroenterology,1.0,0.95,0.9743589743589743,20.0
General Medicine,0.9479166666666666,0.978494623655914,0.9629629629629629,93.0
Neurology,1.0,0.9,0.9473684210526315,10.0
Orthopedics,1.0,1.0,1.0,10.0
Pulmonology,0.9523809523809523,1.0,0.975609756097561,20.0
Rheumatology,1.0,1.0,1.0,10.0
Vascular Surgery,1.0,1.0,1.0,10.0
