model,target,train_n,validation_n,test_n,validation_macro_f1,test_accuracy,test_macro_f1,test_top3_accuracy,run_seconds
condition_baseline,condition,673,168,212,0.9515548919292235,0.9433962264150944,0.9430213061792007,0.9952830188679245,5.965895300003467
specialty_baseline,specialty_proxy,673,168,212,0.9673816168796527,0.9669811320754716,0.9683006938600366,1.0,2.8088499999867054
specialty_distilbert,specialty_proxy,673,168,212,0.976756815466493,0.9575471698113207,0.9596194261200802,1.0,94.79489620000822
