epoch,train_loss,validation_accuracy,validation_macro_f1,seconds
1,2.0607084469844823,0.42857142857142855,0.4362687218050323,6.781153299991274
2,1.3869964513169355,0.6726190476190477,0.6849602639076323,6.458000699989498
3,0.7903259030777137,0.8452380952380952,0.8604298027436907,6.639180800004397
4,0.41039802149536,0.9345238095238095,0.9366605858157317,8.325856399998884
5,0.20086565175346952,0.9464285714285714,0.9491003048335658,7.213344000003417
6,0.09598913350395781,0.9583333333333334,0.9376903770499381,7.16892939999525
7,0.04614113636569495,0.9702380952380952,0.9663268802987539,6.759915100003127
8,0.02530576907552192,0.9821428571428571,0.976756815466493,6.806472299998859
